epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,38586.1,0.67886,0.4728,0.97205,0.90294,0.8627,0.9081,0.72613,0.965,0.53592,0.92692,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,39748,0.67996,0.47404,0.97422,0.90507,0.86109,0.9086,0.72608,0.96832,0.53436,0.92812,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,40943.3,0.67153,0.46856,0.9688,0.90465,0.86079,0.90791,0.72772,0.96433,0.53142,0.92538,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,42122,0.67057,0.4672,0.96864,0.90814,0.85701,0.90838,0.7283,0.95967,0.52859,0.92434,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,43331.8,0.66481,0.46046,0.96423,0.90828,0.85733,0.90743,0.72836,0.9578,0.52578,0.92349,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,44523.6,0.66382,0.45899,0.96273,0.9077,0.8601,0.91005,0.72999,0.96461,0.52526,0.92397,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,45705.6,0.66085,0.45646,0.96387,0.913,0.85868,0.91092,0.73136,0.96145,0.52355,0.92471,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,46860.4,0.6637,0.45605,0.96471,0.90822,0.86234,0.91126,0.73171,0.95761,0.52024,0.92433,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,48062.2,0.65405,0.44974,0.96201,0.91179,0.8625,0.913,0.73393,0.95306,0.51685,0.92465,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,49231.9,0.64874,0.44641,0.95727,0.91133,0.86483,0.91349,0.73435,0.94734,0.51479,0.92316,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,50397.2,0.65668,0.448,0.96043,0.91084,0.86608,0.91409,0.73476,0.94598,0.51532,0.92355,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,51552.5,0.6485,0.44393,0.95723,0.91041,0.86807,0.91361,0.73479,0.94476,0.51531,0.92356,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,52710.4,0.64644,0.44446,0.96112,0.91215,0.86886,0.91404,0.73524,0.94112,0.51197,0.92356,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,53875.3,0.63988,0.44022,0.95589,0.9114,0.8699,0.91427,0.73552,0.94055,0.51014,0.92342,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,55072.3,0.63897,0.43635,0.95463,0.91144,0.8708,0.91486,0.73599,0.93838,0.50906,0.92218,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,56244.3,0.64573,0.4392,0.95606,0.91221,0.87083,0.9154,0.73653,0.93691,0.50821,0.92162,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,57400.8,0.6366,0.43438,0.95336,0.91223,0.87325,0.91623,0.73679,0.93418,0.50662,0.92104,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,58544.1,0.63585,0.43406,0.95137,0.91442,0.87317,0.9161,0.73726,0.93284,0.50541,0.92103,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,59708.5,0.63637,0.42859,0.95393,0.91467,0.8721,0.9166,0.73769,0.93088,0.5043,0.92151,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,60888.5,0.63292,0.42839,0.95048,0.91409,0.87391,0.91667,0.73791,0.92939,0.50406,0.9213,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,62067.1,0.62776,0.42647,0.94758,0.91611,0.87319,0.917,0.73824,0.92817,0.50306,0.92137,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,63237.9,0.61987,0.42179,0.94628,0.91571,0.87422,0.91721,0.73866,0.92715,0.50182,0.92125,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,64374.8,0.6233,0.42251,0.94674,0.91468,0.87342,0.91747,0.73949,0.92576,0.50069,0.92109,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,65508.4,0.619,0.42028,0.94788,0.91429,0.87364,0.91734,0.74,0.92467,0.49963,0.92118,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,66647.2,0.62108,0.41716,0.94805,0.91369,0.87538,0.91783,0.74008,0.92331,0.49862,0.92094,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,67775.6,0.61415,0.41382,0.94359,0.91378,0.87524,0.91833,0.74057,0.92248,0.49746,0.92072,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,68879,0.61551,0.41384,0.94375,0.91407,0.87627,0.91866,0.74117,0.92183,0.49629,0.92069,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,70009.4,0.6111,0.4116,0.94248,0.91384,0.87638,0.9191,0.74228,0.92013,0.49521,0.92037,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,71114.8,0.61381,0.40902,0.94365,0.91318,0.87733,0.91919,0.74277,0.91849,0.49438,0.92003,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,72229.3,0.60818,0.40499,0.94159,0.91383,0.87734,0.91975,0.74364,0.91685,0.49354,0.91957,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,73364.8,0.60504,0.40437,0.94004,0.91457,0.87704,0.91996,0.74391,0.91505,0.49259,0.91901,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,74494.6,0.60506,0.40312,0.93918,0.91614,0.87766,0.92053,0.74419,0.91365,0.49155,0.91868,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,75639.4,0.60024,0.40066,0.93663,0.91651,0.8769,0.92033,0.74436,0.91297,0.4905,0.91883,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,76751,0.59707,0.39954,0.93509,0.91824,0.87762,0.92094,0.74514,0.91192,0.48959,0.91869,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,77864.3,0.60038,0.39918,0.93824,0.91886,0.87739,0.92096,0.74565,0.91061,0.48902,0.9183,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,78981.3,0.59481,0.39522,0.93418,0.91974,0.87752,0.92097,0.7455,0.90958,0.48841,0.91795,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,80128.4,0.59095,0.39291,0.93244,0.9187,0.87876,0.92109,0.746,0.9085,0.48764,0.91776,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,81253.1,0.58993,0.39184,0.93407,0.91883,0.87844,0.92127,0.74622,0.90733,0.4868,0.91758,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,82438.5,0.58923,0.39194,0.9343,0.91956,0.8787,0.92132,0.74643,0.90647,0.48624,0.91729,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,83607,0.58019,0.38238,0.92961,0.92184,0.87871,0.92156,0.74687,0.90562,0.48551,0.91726,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,84748.8,0.57788,0.38251,0.92731,0.92211,0.87843,0.92204,0.74716,0.90481,0.4844,0.9171,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,85930.8,0.57349,0.38083,0.92533,0.92171,0.87901,0.92212,0.74752,0.90375,0.48344,0.91682,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,87092.4,0.577,0.37981,0.92768,0.92387,0.87804,0.9224,0.74793,0.90278,0.4828,0.91644,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
