epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,260.251,1.67773,0.76469,0.8739,0.86714,0.77236,0.81786,0.4212,1.69647,0.77323,0.83759,0.0011882,0.0011882,0.0011882
43,486.744,1.66242,0.76435,0.8694,0.85523,0.76425,0.81398,0.41484,1.7104,0.75673,0.84078,0.0011684,0.0011684,0.0011684
44,705.208,1.64992,0.75328,0.869,0.85067,0.76891,0.80984,0.41358,1.70412,0.76223,0.8389,0.0011486,0.0011486,0.0011486
45,919.402,1.63345,0.75063,0.86597,0.8612,0.77428,0.81697,0.4194,1.69726,0.76616,0.83838,0.0011288,0.0011288,0.0011288
46,1127.83,1.63878,0.74681,0.86518,0.85852,0.77466,0.82182,0.41476,1.71174,0.75749,0.83709,0.001109,0.001109,0.001109
47,1336.7,1.65121,0.74412,0.8609,0.86956,0.7762,0.82578,0.43015,1.64319,0.73799,0.83449,0.0010892,0.0010892,0.0010892
48,1547.04,1.61405,0.7355,0.85936,0.87812,0.76545,0.82402,0.43308,1.6624,0.74677,0.83641,0.0010694,0.0010694,0.0010694
49,1762.33,1.60417,0.72716,0.85752,0.87219,0.78586,0.82503,0.43333,1.6388,0.74225,0.83049,0.0010496,0.0010496,0.0010496
50,1972.15,1.59682,0.73008,0.8601,0.86907,0.78541,0.82723,0.43442,1.67216,0.73837,0.83385,0.0010298,0.0010298,0.0010298
51,2182.84,1.57828,0.72189,0.85368,0.86896,0.78388,0.83168,0.44235,1.6557,0.74037,0.83105,0.00101,0.00101,0.00101
52,2396.28,1.58964,0.71919,0.85237,0.87025,0.78042,0.82585,0.43564,1.66143,0.73782,0.83563,0.0009902,0.0009902,0.0009902
53,2608.13,1.58094,0.71532,0.85819,0.86183,0.77889,0.82571,0.43927,1.62687,0.72194,0.8325,0.0009704,0.0009704,0.0009704
54,2819.95,1.56818,0.7123,0.85105,0.87762,0.77735,0.8333,0.44647,1.6334,0.71967,0.8288,0.0009506,0.0009506,0.0009506
55,3030.8,1.55455,0.70329,0.85398,0.87561,0.79176,0.83483,0.44696,1.62536,0.7137,0.83165,0.0009308,0.0009308,0.0009308
56,3242.7,1.54318,0.69917,0.84726,0.88118,0.78656,0.83515,0.4583,1.58276,0.71191,0.82753,0.000911,0.000911,0.000911
57,3453.58,1.55711,0.70304,0.85491,0.88055,0.7782,0.83559,0.4463,1.61365,0.71858,0.82689,0.0008912,0.0008912,0.0008912
58,3662.61,1.51501,0.69497,0.84471,0.87692,0.78311,0.8328,0.45086,1.59684,0.70688,0.82388,0.0008714,0.0008714,0.0008714
59,3874.44,1.52843,0.69492,0.85077,0.8792,0.79309,0.83621,0.44939,1.63454,0.71626,0.83098,0.0008516,0.0008516,0.0008516
60,4085.55,1.53043,0.69037,0.84834,0.88608,0.7881,0.83744,0.45178,1.60176,0.70425,0.82736,0.0008318,0.0008318,0.0008318
61,4293.06,1.53195,0.69033,0.84404,0.87416,0.79463,0.84052,0.45573,1.60195,0.70635,0.82785,0.000812,0.000812,0.000812
62,4500.1,1.52121,0.67995,0.84525,0.88261,0.78794,0.83746,0.46305,1.56324,0.69277,0.82402,0.0007922,0.0007922,0.0007922
63,4706.8,1.50104,0.67785,0.8436,0.89346,0.78872,0.84041,0.46488,1.5665,0.68893,0.82512,0.0007724,0.0007724,0.0007724
64,4913.5,1.50681,0.67944,0.8443,0.88722,0.79539,0.8442,0.46351,1.55122,0.68953,0.82295,0.0007526,0.0007526,0.0007526
65,5121.15,1.49502,0.68407,0.83651,0.89061,0.79389,0.84322,0.46228,1.58324,0.695,0.82666,0.0007328,0.0007328,0.0007328
66,5328.64,1.49399,0.67116,0.84002,0.90062,0.79386,0.84969,0.47239,1.53877,0.67294,0.82021,0.000713,0.000713,0.000713
67,5536.83,1.47037,0.6601,0.84203,0.89417,0.79079,0.84485,0.46564,1.55831,0.68413,0.82417,0.0006932,0.0006932,0.0006932
68,5745.69,1.48739,0.67176,0.83568,0.88773,0.80691,0.848,0.46818,1.54613,0.67382,0.81968,0.0006734,0.0006734,0.0006734
69,5955.76,1.47482,0.66056,0.83402,0.89342,0.80115,0.84977,0.47319,1.52307,0.6757,0.81906,0.0006536,0.0006536,0.0006536
70,6163.33,1.46302,0.65962,0.83747,0.8968,0.8,0.84797,0.47509,1.52515,0.67125,0.8197,0.0006338,0.0006338,0.0006338
